artist_id,artist_name,nb_album,nb_fan,fan_band
9440,Fela Kuti,88,204437,50K-500K
9450,Hugh Mundell,6,7062,1K-50K
9501,Andrew Gold,40,7264,1K-50K
9523,Mississippi Fred McDowell,41,16829,1K-50K
9672,Joe Bataan,31,2905,1K-50K
9728,Marcos Valle,59,22095,1K-50K
9777,Green Velvet,68,42892,1K-50K
9999,Gladys Knight & The Pips,41,108928,50K-500K
10088,John Beltran,48,979,Under 1K
10129,War,55,19456,1K-50K
10139,Digital Underground,22,12915,1K-50K
10312,Sugar Minott,103,52032,50K-500K
10543,Rory Gallagher,38,123250,50K-500K
10574,Ini Kamoze,6,102999,50K-500K
11799,Chris Lake,108,303317,50K-500K
11873,Diamond Head,26,16578,1K-50K
12178,Calvin Harris,188,12322530,Over 5M
12246,Taylor Swift,118,12724280,Over 5M
12436,Miley Cyrus,55,7238375,Over 5M
12544,Oscar D'León,97,213023,50K-500K
13025,Stephen Marley,29,526392,500K-5M
13030,Norman Brown,21,22734,1K-50K
13179,K7,63,1923,1K-50K
13204,Mark Ronson,78,754143,500K-5M
13332,André Previn,244,48669,1K-50K
13570,Metronomy,74,504081,500K-5M
13623,In This Moment,38,183222,50K-500K
13695,George Duke,46,57440,50K-500K
13704,Tim Maia,25,1111504,500K-5M
14521,Jack Black,14,11858,1K-50K
14567,Spyro Gyra,37,25737,1K-50K
14624,Willie Rosario,34,17939,1K-50K
14687,Djavan,56,1839154,500K-5M
14744,Boney James,50,55693,50K-500K
14984,Al Jarreau,45,313730,50K-500K
15056,Bakar,34,30097,1K-50K
15466,Larry Carlton,53,35178,1K-50K
15513,Keith Mansfield,71,1142,1K-50K
15712,Wang Chung,11,9016,1K-50K
15808,Steve Reich,54,44062,1K-50K
15827,Elis Regina,70,918352,500K-5M
15888,Jonas Brothers,53,1688461,500K-5M
16066,Night Ranger,38,13396,1K-50K
16235,Monchy & Alexandra,20,35788,1K-50K
16644,Intocable,68,641868,500K-5M
17046,Zion,33,561957,500K-5M
54728,Roosevelt Sykes,45,790,Under 1K
54988,Alemayehu Eshete,7,2339,1K-50K
55398,Bembeya Jazz National,21,3544,1K-50K
56797,Vladimir Horowitz,273,102037,50K-500K
57085,Kokomo Arnold,16,616,Under 1K
57139,The Slickers,3,842,Under 1K
57533,Sleepy John Estes,1,3856,1K-50K
58307,Pinetop Perkins,36,3263,1K-50K
58312,T-bone Walker,34,253835,50K-500K
58313,Sunnyland Slim,23,1287,1K-50K
58960,Yo-Yo Ma,186,453554,50K-500K
59511,Rennie Foster,128,287,Under 1K
59600,Roedelius,53,1636,1K-50K
62359,Jimmy Reed,17,117247,50K-500K
62380,Sharon Jones & The Dap-Kings,19,58248,50K-500K
62439,Jimmy Riley,30,1278,1K-50K
62490,NILS,151,2665,1K-50K
62996,Ryuichi Sakamoto,102,80940,50K-500K
64252,Georgia Satellites,9,2902,1K-50K
64279,Kronos Quartet,112,26751,1K-50K
64404,Firefall,33,2162,1K-50K
64410,"Peter, Paul And Mary",0,15652,1K-50K
64425,Allen Toussaint,12,10743,1K-50K
64750,Tony Joe White,64,45943,1K-50K
64887,Pierre-Laurent Aimard,55,3510,1K-50K
65574,Steve Lacy,24,278019,50K-500K
65655,Daniel Barenboim,287,252654,50K-500K
65992,Blues Image,13,806,Under 1K
66096,Information Society,1,92673,50K-500K
66465,Otis Rush,12,88063,50K-500K
66506,Joyce,20,3684,1K-50K
66611,Ruthie Foster,28,8252,1K-50K
66947,Karyn White,9,29220,1K-50K
69167,Furry Lewis,25,1874,1K-50K
69519,Bobby Bare,72,7777,1K-50K
69542,Murray Perahia,95,110987,50K-500K
69635,The Brecker Brothers,13,5661,1K-50K
69910,Leon Fleisher,73,1361,1K-50K
69925,P!nk,60,4659881,500K-5M
69959,Keb' Mo',45,100287,50K-500K
70491,Chicken Shack,14,2244,1K-50K
70600,Peter White,19,23663,1K-50K
70711,Matt Maher,63,25877,1K-50K
70942,Willow,29,703678,500K-5M
71495,E. Power Biggs,22,350,Under 1K
71978,Michael Rische,16,50,Under 1K
72628,Lawson Rollins,27,1211,1K-50K
73158,Rogê,145,4417,1K-50K
73651,Esa-Pekka Salonen,115,22484,1K-50K
74186,Jimmy Rogers,10,55258,50K-500K
74309,Lil Wayne,121,5837446,Over 5M
74346,Will Downing,63,14131,1K-50K
74398,OneRepublic,99,4345705,500K-5M
74444,Fleet Foxes,18,165424,50K-500K
75491,Lady Gaga,82,9278254,Over 5M
75649,Mindi Abair,20,3890,1K-50K
75798,Adele,15,15471908,Over 5M
76342,The Braxton Brothers,10,265,Under 1K
76749,Wailing Souls,28,9680,1K-50K
76970,Rob Base & DJ EZ Rock,5,5806,1K-50K
77727,Marion Meadows,20,5356,1K-50K
78233,Freiburger Barockorchester,136,8687,1K-50K
78325,Walter Beasley,117,3467,1K-50K
78466,Alvin And The Chipmunks,14,77568,50K-500K
78495,Stephen Bishop,31,4225,1K-50K
78506,Blind Lemon Jefferson,12,4207,1K-50K
78668,Bon Iver,16,548722,500K-5M
78908,J.B. Lenoir,3,21024,1K-50K
79048,Giuliano Carmignola,32,6260,1K-50K
79236,Run-DMC,28,291587,50K-500K
80624,Toquinho,56,246696,50K-500K
80776,Eddie Kendricks,21,6145,1K-50K
81146,"Clarence ""Gatemouth"" Brown",31,3901,1K-50K
81789,Blind Boy Fuller,27,2319,1K-50K
82127,Fabio Biondi,93,19782,1K-50K
83415,Dj Mini,14,1673,1K-50K
84336,Balla Et Ses Balladins,5,1165,1K-50K
84999,Johnny Colon,7,789,Under 1K
85226,Pinetop Smith,3,54,Under 1K
87384,Captain Beefheart,18,18330,1K-50K
92573,Blind Blake,27,2504,1K-50K
94137,Bobby Blue Bland,1,1042,1K-50K
95069,Josey Wales,25,1295,1K-50K
